City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
142,nueve de julio,-35.4444,-60.8831,19.98,73,99,0.45,AR,1701798830
143,mariano,8.8333,125.1167,25.14,92,96,0.87,PH,1701798830
144,greenville,35.6127,-77.3663,16.01,56,0,0.89,US,1701798830
145,khilok,51.3674,110.4676,-18.05,73,67,7.35,RU,1701798830
146,west island,-12.1568,96.8225,25.99,83,40,3.6,CC,1701798831
147,baki,-7.6128,110.7839,24.6,90,100,2.15,ID,1701798831
148,utrik,11.2278,169.8474,27.51,78,25,10.09,MH,1701798831
149,krasnaya gora,52.9995,31.6023,-13.81,100,99,1.97,RU,1701798831
150,argostolion,38.1811,20.489,15.97,66,75,2.06,GR,1701798831
151,saldanha,-33.0117,17.9442,22.03,76,81,11.36,ZA,1701798831
152,acapulco de juarez,16.8634,-99.8901,30.19,61,45,2.14,MX,1701798700
153,nova vicosa,-17.8919,-39.3719,28.99,66,3,6.83,BR,1701798831
154,al jubayl,27.0112,49.6583,21.75,56,0,3.49,SA,1701798831
155,qui nhon,13.7667,109.2333,24.09,91,40,2.67,VN,1701798831
156,muzaffarnagar,29.4667,77.6833,16.28,49,0,2.14,IN,1701798832
157,santyoku,37.4406,129.1708,6.39,63,1,2.91,KR,1701798832
158,hamilton,39.1834,-84.5333,6.11,93,100,4.63,US,1701798832
159,celestun,20.8667,-90.4,27.8,70,100,3.94,MX,1701798832
160,anna regina,7.2644,-58.5077,28.47,69,82,3.19,GY,1701798832
161,udachny,66.4167,112.4,-29.57,97,100,2.84,RU,1701798832
162,saint-pierre,-21.3393,55.4781,22.82,78,0,2.57,RE,1701798832
163,bikenibeu village,1.3673,173.1241,25.98,89,75,5.66,KI,1701798832
164,kumburgaz,41.0211,28.4772,10.87,84,100,4.78,TR,1701798832
165,eyl,7.9803,49.8164,25.75,62,76,9.91,SO,1701798832
166,egilsstadir,65.2653,-14.3948,-16.05,92,100,1.54,IS,1701798833
167,khovd,48.0056,91.6419,-6.42,65,55,2.28,MN,1701798833
168,palora,-1.7,-77.9333,21.06,82,99,0.9,EC,1701798833
169,kavieng,-2.5744,150.7967,27.26,82,100,3.99,PG,1701798833
170,banfora,10.6333,-4.7667,30.24,17,4,2.11,BF,1701798833
171,lauro de freitas,-12.8944,-38.3272,30.01,70,20,7.2,BR,1701798753
172,mount pearl,47.5166,-52.7813,0.74,85,100,5.66,CA,1701798833
173,enriquillo,17.9,-71.2333,30.82,68,5,4.89,DO,1701798833
174,port macquarie,-31.4333,152.9167,17.16,91,6,3.61,AU,1701798833
175,bouarfa,32.53,-1.95,12.41,45,100,4.02,MA,1701798833
176,hithadhoo,-0.6,73.0833,28.15,74,61,3.21,MV,1701798834
177,anadyr,64.75,177.4833,-21.67,83,0,3.0,RU,1701798834
178,bude,50.8243,-4.5413,4.47,88,83,0.45,GB,1701798834
179,lompoc,34.6391,-120.4579,19.45,48,0,4.12,US,1701798697
180,talcher,20.95,85.2167,19.2,85,100,0.48,IN,1701798834
181,stepnogorsk,52.3544,71.8869,0.86,96,100,3.06,KZ,1701798834
182,altagracia de orituco,9.8601,-66.3814,31.66,44,91,2.32,VE,1701798834
183,mirriah,13.7073,9.1501,25.97,14,81,3.98,NE,1701798834
184,villa gesell,-37.2639,-56.973,19.47,69,97,8.17,AR,1701798834
185,pandan,14.0453,124.1694,26.37,87,77,4.02,PH,1701798834
186,sorong,-0.8833,131.25,27.24,80,95,2.28,ID,1701798834
187,port alfred,-33.5906,26.891,17.88,79,100,0.45,ZA,1701798835
188,nago,26.5881,127.9761,20.47,62,99,3.04,JP,1701798835
189,sokoni,-6.4333,39.55,27.5,82,16,3.43,TZ,1701798835
190,poronaysk,49.2167,143.1167,-7.44,87,66,2.38,RU,1701798835
191,rio grande,-32.035,-52.0986,24.06,74,100,9.57,BR,1701798728
192,brisas de zicatela,15.8369,-97.0419,30.06,60,56,2.78,MX,1701798835
193,tura,25.5198,90.2201,18.66,66,81,0.93,IN,1701798542
194,la cruz,23.9167,-106.9,27.09,38,0,2.33,MX,1701798835
195,songea,-10.6833,35.65,19.9,90,71,1.28,TZ,1701798835
196,nungwi,-5.7265,39.2987,28.03,81,10,4.59,TZ,1701798835
197,galesong,-5.3166,119.3661,25.01,82,83,2.51,ID,1701798836
198,panjakent,39.4952,67.6093,11.9,32,2,2.88,TJ,1701798836
199,road town,18.4167,-64.6167,29.05,58,20,4.63,VG,1701798545
200,san andres,12.5847,-81.7006,32.01,70,40,6.69,CO,1701798836
201,atar,20.5169,-13.0499,29.1,16,69,3.09,MR,1701798836
202,gondar,12.6,37.4667,17.28,52,55,2.32,ET,1701798836
203,nadym,65.5333,72.5167,-40.05,100,41,1.34,RU,1701798836
204,klyuchi,52.2667,79.1667,2.11,93,100,4.91,RU,1701798836
205,visby,57.6409,18.296,-1.88,80,100,1.54,SE,1701798775
206,kiunga,-6.1219,141.2906,22.51,100,100,1.86,PG,1701798836
207,puerto deseado,-47.7503,-65.8938,10.65,60,88,13.23,AR,1701798837
208,aberdeen,57.1437,-2.0981,1.32,94,40,2.57,GB,1701798742
209,port elizabeth,-33.918,25.5701,17.83,72,100,3.13,ZA,1701798837
210,santa ana,33.7456,-117.8678,26.81,45,0,0.0,US,1701798276
211,san patricio,28.017,-97.5169,20.48,55,100,2.42,US,1701798837
212,kone,-21.0595,164.8658,22.87,84,100,2.02,NC,1701798837
213,vrangel',42.7297,133.0839,2.15,67,1,2.6,RU,1701798837
214,gornyy,55.1153,83.9059,-2.51,98,100,2.65,RU,1701798837
215,kafue,-15.7691,28.1814,26.6,26,48,2.77,ZM,1701798837
216,kawm hamadah,30.761,30.6973,16.15,85,3,1.88,EG,1701798837
217,carnarvon,-24.8667,113.6333,23.61,77,64,9.69,AU,1701798837
218,mont-laurier,46.5501,-75.4993,-10.21,74,77,1.24,CA,1701798838
219,puerto ayora,-0.7393,-90.3518,29.98,87,86,3.58,EC,1701798838
220,yakeshi,49.2833,120.7333,-15.89,86,86,8.56,CN,1701798838
221,ta`u,-14.2336,-169.5144,27.19,80,87,8.95,AS,1701798838
222,stanley,54.868,-1.6985,3.2,91,20,3.09,GB,1701798614
223,vilyuchinsk,52.9306,158.4028,-2.85,85,20,4.91,RU,1701798838
224,taoudenni,22.6783,-3.9836,24.15,10,81,3.6,ML,1701798838
225,constitucion,-35.3333,-72.4167,16.61,68,63,3.8,CL,1701798838
226,verkhnevilyuysk,63.4453,120.3167,-47.52,99,66,1.88,RU,1701798838
227,kitimat,54.0524,-128.6534,6.21,64,100,1.79,CA,1701798838
228,driefontein,-27.0177,30.4498,16.29,94,84,3.89,ZA,1701798839
229,warrnambool,-38.3833,142.4833,12.12,83,64,2.54,AU,1701798839
230,tromso,69.6496,18.957,-2.99,63,40,5.14,NO,1701798839
231,iranshahr,27.2025,60.6848,17.19,19,0,0.0,IR,1701798839
232,pisco,-13.7,-76.2167,23.03,73,0,4.12,PE,1701798839
233,ascension,30.2169,-90.9001,17.22,56,0,0.0,US,1701798839
234,midvagur,62.0511,-7.1939,-1.54,80,40,0.51,FO,1701798839
235,revda,56.801,59.9303,-15.43,96,99,2.49,RU,1701798839
236,las vegas,36.175,-115.1372,19.23,35,0,2.24,US,1701798437
237,ambasa,23.9172,91.8472,18.47,73,98,1.06,IN,1701798840
238,ertil',51.8406,40.8056,-7.96,96,72,2.91,RU,1701798840
239,yoko,5.5333,12.3167,22.36,45,81,1.05,CM,1701798840
240,central,30.5544,-91.0368,16.04,59,100,1.71,US,1701798840
241,touros,-5.1989,-35.4608,29.43,62,44,6.7,BR,1701798840
242,howard springs,-12.497,131.047,24.95,96,100,4.14,AU,1701798840
243,portland,45.5234,-122.6762,15.06,96,100,4.02,US,1701798327
244,send,51.2888,-0.5267,6.78,88,75,3.09,GB,1701798840
245,sisimiut,66.9395,-53.6735,-9.95,80,20,5.16,GL,1701798840
246,rio preto da eva,-2.6994,-59.6997,31.86,53,75,1.71,BR,1701798841
247,calama,-22.4667,-68.9333,25.27,7,0,10.29,CL,1701798841
248,general pinedo,-27.3167,-61.2833,26.1,79,98,1.72,AR,1701798841
249,scarborough,54.2797,-0.4044,5.92,82,100,2.24,GB,1701798784
250,afaahiti,-17.75,-149.2833,26.93,83,100,7.78,PF,1701798841
251,progreso,21.2833,-89.6667,30.06,72,100,5.53,MX,1701798841
252,gadzhiyevo,69.2551,33.3362,-9.49,84,100,6.21,RU,1701798841
253,ozar,20.1,73.9333,21.85,66,96,3.42,IN,1701798841
254,palangkaraya,-2.2,113.8333,24.18,95,98,0.5,ID,1701798841
255,gbarnga,6.9956,-9.4722,27.96,62,58,0.49,LR,1701798842
256,solnechnyy,50.7214,136.6319,-13.32,90,98,3.87,RU,1701798842
257,horta,38.5333,-28.6333,18.9,90,40,10.8,PT,1701798842
258,joaquin v. gonzalez,-25.0833,-64.1833,24.98,57,82,3.21,AR,1701798842
259,eirunepe,-6.6603,-69.8736,29.24,77,96,1.05,BR,1701798843
260,okhotsk,59.3833,143.3,-26.68,77,100,6.83,RU,1701798843
261,zayed city,24.3768,54.589,27.22,71,0,3.6,AE,1701798843
262,st. john's,47.5649,-52.7093,1.2,85,100,2.57,CA,1701798572
263,ketchikan,55.3422,-131.6461,8.99,87,100,4.63,US,1701798843
264,illizi,26.4833,8.4667,22.89,19,6,2.52,DZ,1701798844
265,noumea,-22.2763,166.4572,19.99,87,86,3.6,NC,1701798739
266,slave lake,55.2834,-114.769,-2.01,80,100,1.54,CA,1701798844
267,warman,52.3168,-106.5679,-2.05,80,100,4.12,CA,1701798844
268,shimoda,34.6667,138.95,10.06,75,100,3.69,JP,1701798844
269,anshun,26.25,105.9333,9.45,84,100,4.23,CN,1701798845
270,genhe,50.7833,121.5167,-13.3,92,100,4.75,CN,1701798845
271,yamada,39.4667,141.95,8.47,69,92,1.49,JP,1701798845
272,laguna de perlas,12.3429,-83.6712,31.05,83,1,5.17,NI,1701798823
273,alofi,-19.0595,-169.9187,23.94,88,40,2.06,NU,1701798845
274,arroio grande,-32.2375,-53.0869,21.2,73,100,6.75,BR,1701798846
275,karratha,-20.7377,116.8463,27.12,69,3,5.31,AU,1701798781
276,hami,42.8,93.45,-0.18,48,7,1.29,CN,1701798846
277,gaspe,48.8334,-64.4819,-2.05,54,20,5.14,CA,1701798664
278,vredendal,-31.6683,18.5012,19.87,61,2,7.11,ZA,1701798847
